#rank,UTF8,SJIS,EUCJP
1,E5A588,C6E0,93DE
1,EFBD9E,8FA2B7,3F
1,E58F8D,C8BF,94BD
1,E5BF9C,B1FE,899E
1,E28093,3F,3F
1,E9809F,C2AE,91AC
1,E8A6AA,BFC6,9065
1,E4BA88,CDBD,975C
1,E591A8,BCFE,8EFC
1,E5BF85,C9AC,954B
1,E8A6B3,B4D1,8ACF
1,E5AEA4,BCBC,8EBA
1,E4BA94,B8DE,8CDC
1,E881B7,BFA6,9045
1,E4BB8A,BAA3,8DA1
1,E6B2A1,CBD7,9676
1,E4BF82,B7B8,8C57
1,E680A5,B5DE,8B7D
1,E5A4AE,B1FB,899B
1,E998B2,CBC9,9668
1,E9A098,CECE,97CC
1,E58D8A,C8BE,94BC
1,E69FBB,BABA,8DB8
1,E59586,BEA6,8FA4
1,E58F8A,B5DA,8B79
1,E88AB8,B7DD,8C7C
1,E6B888,BAD1,8DCF
1,E581B4,C2A6,91A4
1,E58D98,C3B1,9250
1,E79C81,BECA,8FC8
1,E698A5,BDD5,8F74
1,E5AF8C,C9D9,9578
1,E58686,B1DF,897E
1,E5BAAB,B8CB,8CC9
1,E5BFB5,C7B0,944F
1,E7ABA0,BECF,8FCD
1,E68993,C2C7,91C5
1,E78BAC,C6C8,93C6
1,E6BA96,BDE0,8F80
1,E9A0AD,C6AC,93AA
1,E8A68F,B5AC,8B4B
1,E69E97,CED3,97D1
1,E58D9A,C7EE,948E
1,E8B5B0,C1F6,9196
1,E6B3A2,C7C8,9467
1,E5B2A9,B4E4,8AE2
1,E6A899,C9B8,9557
1,E7B699,B7D1,8C70
1,E9A39F,BFA9,9048
1,EFBC9D,A1E1,8181
1,E68C99,B5F3,8B93
1,E38190,A4B0,82AE
1,E5888A,B4A9,8AA7
1,E5B082,C0EC,90EA
1,E9878F,CECC,97CA
1,E5B8B0,B5A2,8B41
1,E6ADB3,BAD0,8DCE
1,E8B6B3,C2AD,91AB
1,E4BE8B,CEE3,97E1
1,E4BB8B,B2F0,89EE
1,E582AC,BAC5,8DC3
1,E4BEBF,CAD8,95D6
1,E6AEBA,BBA6,8E45
1,E8ADB7,B8EE,8CEC
1,E5AEB3,B3B2,8A51
1,E6B885,C0B6,90B4
1,E4B98B,C7B7,9456
1,E28090,A1BE,815D
1,E99BA2,CEA5,97A3
1,E9BB92,B9F5,8D95
1,E4BA86,CEBB,97B9
1,E3818E,A4AE,82AC
1,E591B3,CCA3,96A1
1,E6A682,B3B5,8A54
1,E4BA89,C1E8,9188
1,E5B89D,C4EB,92E9
1,E99B84,CDBA,9759
1,E5808B,B8C4,8CC2
1,E58CBB,B0E5,88E3
1,E5BEB3,C6C1,93BF
1,E7B18D,C0D2,90D0
1,E8A99E,BBEC,8E8C
1,E6AF8D,CAEC,95EA
1,E382A5,A5A5,8344
1,E5B086,BEAD,8FAB
1,E5B0BE,C8F8,94F6
1,E694BB,B9B6,8D55
1,E5A794,B0D1,88CF
1,E8BEBC,B9FE,8D9E
1,E9878C,CEA4,97A2
1,E890BD,CDEE,978E
1,E68EA5,C0DC,90DA
1,E7A78B,BDA9,8F48
1,E6A0B9,BAAC,8DAA
1,E5AE87,B1A7,8946
1,E788B6,C9E3,9583
1,E5AEA2,B5D2,8B71
1,E6B4BE,C7C9,9468
1,E9A699,B9E1,8D81
1,E8ADA6,B7D9,8C78
1,E58AA9,BDF5,8F95
1,E5AE88,BCE9,8EE7
1,E8B380,B2EC,89EA
1,E795B0,B0DB,88D9
1,E3838C,A5CC,836B
1,E5BF97,BBD6,8E75
1,E79A87,B9C4,8D63
1,E5B8AF,C2D3,91D1
1,E5918A,B9F0,8D90
1,E8B3AA,BCC1,8EBF
1,E69597,C7D4,9473
1,E9AD94,CBE2,9682
1,E6858B,C2D6,91D4
1,E69CAA,CCA4,96A2
1,E5BEA1,B8E6,8CE4
1,E68B85,C3B4,9253
1,E8B5A4,C0D6,90D4
1,E785A7,BEC8,8FC6
1,E6B8A1,C5CF,936E
1,E5AE8C,B4B0,8AAE
1,E6B688,BEC3,8FC1
1,E7A792,C9C3,9562
1,E589B5,C1CF,916E
1,E69785,CEB9,97B7
1,E98A80,B6E4,8BE2
1,E4BE9B,B6A1,8B9F
1,E8BFB0,BDD2,8F71
1,E78E89,B6CC,8BCA
1,E6A49C,B8A1,8C9F
1,E587A6,BDE8,8F88
1,E5B08E,C6B3,93B1
1,E9A39B,C8F4,94F2
1,E4B99D,B6E5,8BE3
1,E8A39C,CAE4,95E2
1,E78E87,CEA8,97A6
1,E8889E,C9F1,9591
1,E8AA8C,BBEF,8E8F
1,E99798,C6AE,93AC
1,E58089,C1D2,9171
1,E5A082,C6B2,93B0
1,E79785,C9C2,9561
1,E4B881,C3FA,929A
1,E59D82,BAE4,8DE2
1,E795A5,CEAC,97AA
1,E7B4A0,C1C7,9166
1,E5BCB5,C4A5,92A3
1,E5A49C,CCEB,96E9
1,E8BEBA,CAD5,95D3
1,E68F9B,B4B9,8AB7
1,E6B389,C0F4,90F2
1,E8B18A,CBAD,964C
1,E8AAAD,C6C9,93C7
1,E999BD,CDDB,977A
1,E5AE97,BDA1,8F40
1,E7A88B,C4F8,92F6
1,E9A696,BCF3,8EF1
1,E5B195,C5B8,9357
1,E6849F,B4B6,8AB4
1,E5B7AE,BAB9,8DB7
1,E5A5BD,B9A5,8D44
1,E6AE8B,BBC4,8E63
1,E6BCAB,CCA1,969F
1,E7B8BE,C0D3,90D1
1,E9A893,B8B3,8CB1
1,E7A781,BBE4,8E84
1,E5A297,C1FD,919D
1,E6AF94,C8E6,94E4
1,E7AF89,C3DB,927A
1,E58699,BCCC,8ECA
1,E4BBA4,CEE1,97DF
1,E6B0B8,B1CA,8969
1,E78CAE,B8A5,8CA3
1,E7A98D,C0D1,90CF
1,E894B5,C2A2,91A0
1,E58590,BBF9,8E99
1,E590AB,B4DE,8ADC
1,E799BE,C9B4,9553
1,E58F8B,CDA7,9746
1,E692AE,BBA3,8E42
1,E8B1A1,BEDD,8FDB
1,E88196,C0BB,90B9
1,E4B88E,CDBF,975E
1,E696AD,C3C7,9266
1,E8A792,B3D1,8A70
1,E69CAB,CBF6,9696
1,E7B4B0,BAD9,8DD7
1,E6A188,B0C6,88C4
1,E7A780,BDA8,8F47
1,E5A48F,B2C6,89C4
1,E8B68A,B1DB,897A
1,E888AC,C8CC,94CA
1,E7AD86,C9AE,954D
1,E88888,B6BD,8BBB
1,E58BA2,C0AA,90A8
1,E58FB3,B1A6,8945
1,E9B3A5,C4BB,92B9
1,E4B8B8,B4DD,8ADB
1,E5A283,B6AD,8BAB
1,E6BA90,B8BB,8CB9
1,E683B3,C1DB,917A
